0.0 3 
0.214937 3 553
0.214937 3 553
0.215936 3 553
0.215936 3 553
0.216936 3 553
0.216936 3 553
0.217936 3 553
0.217936 3 553
0.218936 3 553
0.218936 3 553
0.219935 3 553
0.219935 3 553
0.220935 3 553
0.221935 3 553
0.221935 3 553
0.223935 3 553
0.226933 3 553
0.228933 3 553
0.228933 3 553
0.229933 1 553
0.230932 1 553
0.231932 1 553
1.232052 1 553
1.622384 1 553
1.630369 1 553
1.642365 1 553
1.650418 1 553
1.663421 1 553
1.671464 1 553
1.683463 3 553
1.691408 3 553
1.704413 3 553
1.712413 3 553
1.724413 3 553
1.732412 3 553
1.745401 3 553
1.753441 3 553
1.765442 3 553
1.77345 3 553
1.786459 5 553
1.794444 5 553
1.806447 5 553
1.814433 5 553
1.827429 5 553
1.835497 5 553
1.847454 5 553
1.855467 5 553
1.86746 5 553
1.876458 5 553
1.88846 1 553
1.896438 1 553
1.908435 1 553
1.917431 1 553
1.929428 1 553
1.941425 1 553
1.949421 1 553
1.962418 1 553
1.970414 1 553
1.982411 1 553
1.990409 5 553
2.003404 5 553
2.011402 5 553
2.023397 5 553
2.031395 5 553
2.044391 5 553
2.052388 5 553
2.064384 5 553
2.072382 5 553
2.085377 5 553
2.093376 2 553
2.105372 2 553
2.113369 2 553
2.125366 2 553
2.134362 2 553
2.146359 2 553
2.154356 2 553
2.166352 2 553
2.17535 2 553
2.187345 2 553
2.195343 4 553
2.207339 4 553
2.216337 4 553
2.228332 4 553
2.23633 4 553
2.248326 4 553
2.257324 4 553
2.269322 4 553
2.277316 4 553
2.289312 4 553
2.29831 3 553
2.310306 3 553
2.318327 3 553
2.330323 3 553
2.339341 3 553
2.351377 3 553
2.359351 3 553
2.371359 3 553
2.380328 3 553
2.392335 3 553
2.400388 3 553
2.412363 3 553
2.421434 3 553
2.432927 3 553
2.440939 3 553
2.453901 3 553
2.461898 3 553
2.47391 3 553
2.481892 3 553
2.494888 3 553
2.502901 2 553
2.514881 2 553
2.522889 2 553
2.535956 2 553
2.543872 2 553
2.555884 2 553
2.563866 2 553
2.576861 2 553
2.584859 2 553
2.596855 2 553
2.60886 5 553
2.617856 5 553
2.629858 5 553
2.637856 5 553
2.649879 5 553
2.658849 5 553
2.670859 5 553
2.678843 5 553
2.690852 5 553
2.699854 5 553
2.71185 0 553
2.719921 0 553
2.73191 0 553
2.739907 0 553
2.752882 0 553
2.760894 0 553
2.772911 0 553
2.781892 0 553
2.793914 0 553
2.801921 0 553
2.813907 2 553
2.821904 2 553
2.834935 2 553
2.842982 2 553
2.854983 2 553
2.862965 2 553
2.875696 2 553
2.883699 2 553
2.895702 2 553
2.903702 2 553
2.916682 0 553
2.924728 0 553
2.936588 0 553
2.945587 0 553
2.957603 0 553
2.965629 0 553
2.977587 0 553
2.986446 0 553
2.998442 0 553
3.006459 0 553
3.018472 3 553
3.027453 3 553
3.039497 3 553
3.047483 3 553
3.05948 3 553
3.068408 3 553
3.080417 3 553
3.088403 3 553
3.100427 3 553
3.109427 3 553
3.121438 4 553
3.129421 4 553
3.141431 4 553
